Entity,Code,Year,United Kingdom
Air freight traffic (freight ton-km),,1945,28000000
Air freight traffic (freight ton-km),,1946,13000000
Air freight traffic (freight ton-km),,1947,17000000
Air freight traffic (freight ton-km),,1948,25000000
Air freight traffic (freight ton-km),,1949,30000000
Air freight traffic (freight ton-km),,1950,36000000
Air freight traffic (freight ton-km),,1951,46000000
Air freight traffic (freight ton-km),,1952,45000000
Air freight traffic (freight ton-km),,1953,50000000
Air freight traffic (freight ton-km),,1954,52000000
Air freight traffic (freight ton-km),,1955,70000000
Air freight traffic (freight ton-km),,1956,74000000
Air freight traffic (freight ton-km),,1957,82000000
Air freight traffic (freight ton-km),,1958,83000000
Air freight traffic (freight ton-km),,1959,98000000
Air freight traffic (freight ton-km),,1960,131000000
Air freight traffic (freight ton-km),,1961,144000000
Air freight traffic (freight ton-km),,1962,175000000
Air freight traffic (freight ton-km),,1963,210000000
Air freight traffic (freight ton-km),,1964,247000000
Air freight traffic (freight ton-km),,1965,312000000
Air freight traffic (freight ton-km),,1966,389000000
Air freight traffic (freight ton-km),,1967,409000000
Air freight traffic (freight ton-km),,1968,437000000
Air freight traffic (freight ton-km),,1969,537000000
Air freight traffic (freight ton-km),,1970,508000000
Air freight traffic (freight ton-km),,1971,565000000
Air freight traffic (freight ton-km),,1972,715000000
Air freight traffic (freight ton-km),,1973,845000000
Air freight traffic (freight ton-km),,1974,848000000
Air freight traffic (freight ton-km),,1975,798000000
Air freight traffic (freight ton-km),,1976,866000000
Air freight traffic (freight ton-km),,1977,984000000
Air freight traffic (freight ton-km),,1978,1153000000
Air freight traffic (freight ton-km),,1979,1263000000
Air freight traffic (freight ton-km),,1980,1427000000
Air freight traffic (freight ton-km),,1981,1576000000
Air freight traffic (freight ton-km),,1982,1511000000
Air freight traffic (freight ton-km),,1983,1730000000
Air freight traffic (freight ton-km),,1984,2191000000
Air freight traffic (freight ton-km),,1985,2299000000
Air freight traffic (freight ton-km),,1986,2547000000
Air freight traffic (freight ton-km),,1987,2863000000
Air freight traffic (freight ton-km),,1988,3134000000
Air freight traffic (freight ton-km),,1989,3447000000
Air freight traffic (freight ton-km),,1990,3825000000
Air freight traffic (freight ton-km),,1991,4023000000
Air passenger traffic (passenger-km),,1925,4300000
Air passenger traffic (passenger-km),,1926,6000000
Air passenger traffic (passenger-km),,1927,6900000
Air passenger traffic (passenger-km),,1928,10000000
Air passenger traffic (passenger-km),,1929,11000000
Air passenger traffic (passenger-km),,1930,10000000
Air passenger traffic (passenger-km),,1931,11000000
Air passenger traffic (passenger-km),,1932,26000000
Air passenger traffic (passenger-km),,1933,35000000
Air passenger traffic (passenger-km),,1934,47000000
Air passenger traffic (passenger-km),,1935,68000000
Air passenger traffic (passenger-km),,1936,66000000
Air passenger traffic (passenger-km),,1937,80000000
Air passenger traffic (passenger-km),,1938,86000000
Air passenger traffic (passenger-km),,1939,91000000
Air passenger traffic (passenger-km),,1940,68000000
Air passenger traffic (passenger-km),,1941,91000000
Air passenger traffic (passenger-km),,1942,164000000
Air passenger traffic (passenger-km),,1943,201000000
Air passenger traffic (passenger-km),,1944,288000000
Air passenger traffic (passenger-km),,1945,486000000
Air passenger traffic (passenger-km),,1946,584000000
Air passenger traffic (passenger-km),,1947,710000000
Air passenger traffic (passenger-km),,1948,892000000
Air passenger traffic (passenger-km),,1949,989000000
Air passenger traffic (passenger-km),,1950,1277000000
Air passenger traffic (passenger-km),,1951,1717000000
Air passenger traffic (passenger-km),,1952,2000000000
Air passenger traffic (passenger-km),,1953,2308000000
Air passenger traffic (passenger-km),,1954,2438000000
Air passenger traffic (passenger-km),,1955,2899000000
Air passenger traffic (passenger-km),,1956,3336000000
Air passenger traffic (passenger-km),,1957,3898000000
Air passenger traffic (passenger-km),,1958,4107000000
Air passenger traffic (passenger-km),,1959,4927000000
Air passenger traffic (passenger-km),,1960,7289000000
Air passenger traffic (passenger-km),,1961,8176000000
Air passenger traffic (passenger-km),,1962,8760000000
Air passenger traffic (passenger-km),,1963,9609000000
Air passenger traffic (passenger-km),,1964,10867000000
Air passenger traffic (passenger-km),,1965,12475000000
Air passenger traffic (passenger-km),,1966,13969000000
Air passenger traffic (passenger-km),,1967,14691000000
Air passenger traffic (passenger-km),,1968,14943000000
Air passenger traffic (passenger-km),,1969,17390000000
Air passenger traffic (passenger-km),,1970,18953000000
Air passenger traffic (passenger-km),,1971,20381000000
Air passenger traffic (passenger-km),,1972,24319000000
Air passenger traffic (passenger-km),,1973,28256000000
Air passenger traffic (passenger-km),,1974,27656000000
Air passenger traffic (passenger-km),,1975,30192000000
Air passenger traffic (passenger-km),,1976,34044000000
Air passenger traffic (passenger-km),,1977,35647000000
Air passenger traffic (passenger-km),,1978,45132000000
Air passenger traffic (passenger-km),,1979,52426000000
Air passenger traffic (passenger-km),,1980,56746000000
Air passenger traffic (passenger-km),,1981,59219000000
Air passenger traffic (passenger-km),,1982,53645000000
Air passenger traffic (passenger-km),,1983,51605000000
Air passenger traffic (passenger-km),,1984,56874000000
Air passenger traffic (passenger-km),,1985,63809000000
Air passenger traffic (passenger-km),,1986,65500000000
Air passenger traffic (passenger-km),,1987,77161000000
Air passenger traffic (passenger-km),,1988,83042000000
Air passenger traffic (passenger-km),,1989,92283000000
Air passenger traffic (passenger-km),,1990,104999000000
Air passenger traffic (passenger-km),,1991,99856000000
Air passenger traffic (passenger-km),,1992,115199000000
Air passenger traffic (passenger-km),,1993,124882000000
Commercial cars,,1904,10227.929
Commercial cars,,1905,18182.984
Commercial cars,,1906,25001.605
Commercial cars,,1907,29547.352
Commercial cars,,1908,37502.406
Commercial cars,,1909,43184.59
Commercial cars,,1910,61367.58
Commercial cars,,1911,82959.87
Commercial cars,,1912,100006.42
Commercial cars,,1913,117052.97
Commercial cars,,1914,151146.08
Commercial cars,,1915,146600.33
Commercial cars,,1916,151146.08
Commercial cars,,1917,127280.9
Commercial cars,,1918,94324.234
Commercial cars,,1919,120462.28
Commercial cars,,1920,200012.84
Commercial cars,,1921,239788.11
Commercial cars,,1922,260243.98
Commercial cars,,1923,294337.06
Commercial cars,,1924,337521.66
Commercial cars,,1925,367069.03
Commercial cars,,1926,406844.3
Commercial cars,,1927,429573.03
Commercial cars,,1928,455711.1
Commercial cars,,1929,486394.88
Commercial cars,,1930,510260.03
Commercial cars,,1931,509123.6
Commercial cars,,1932,517078.7
Commercial cars,,1933,536398.06
Commercial cars,,1934,565945.44
Commercial cars,,1935,590947
Commercial cars,,1936,619358
Commercial cars,,1937,642086.7
Commercial cars,,1938,662542.56
Commercial cars,,1939,656860.4
Commercial cars,,1940,596629.2
Commercial cars,,1941,607993.56
Commercial cars,,1942,611402.9
Commercial cars,,1943,609130
Commercial cars,,1944,611402.9
Commercial cars,,1945,650041.75
Commercial cars,,1946,755730.4
Commercial cars,,1947,890966.3
Commercial cars,,1948,1018247.2
Commercial cars,,1949,1111434.9
Commercial cars,,1950,1172802.6
Commercial cars,,1951,1215987.1
Commercial cars,,1952,1246670.9
Commercial cars,,1953,1263717.5
Commercial cars,,1954,1295537.8
Commercial cars,,1955,1376224.8
Commercial cars,,1956,1446683.9
Commercial cars,,1957,1492141.2
Commercial cars,,1958,1550099.5
Commercial cars,,1959,1611467
Commercial cars,,1960,1694427
Commercial cars,,1961,1752385.2
Commercial cars,,1962,1776250.4
Commercial cars,,1963,1846709.5
Commercial cars,,1964,1901258.4
Commercial cars,,1965,1930805.8
Commercial cars,,1966,1871711
Commercial cars,,1967,1928533
Commercial cars,,1968,1868301.8
Commercial cars,,1969,1867165.2
Commercial cars,,1970,1925123.5
Commercial cars,,1971,1927396.5
Commercial cars,,1972,1955807.4
Commercial cars,,1973,2044449.5
Commercial cars,,1974,2124000
Commercial cars,,1975,2144455.8
Commercial cars,,1976,2124000
Commercial cars,,1978,2081000
Commercial cars,,1979,2150000
Commercial cars,,1980,2146000
Commercial cars,,1981,2146000
Commercial cars,,1982,2173000
Commercial cars,,1983,2193000
Commercial cars,,1984,2358000
Commercial cars,,1985,2410000
Commercial cars,,1986,2489000
Commercial cars,,1987,2566000
Commercial cars,,1988,2730000
Commercial cars,,1989,2826000
Commercial cars,,1990,2844000
Commercial cars,,1991,2773000
Commercial cars,,1992,2721000
Commercial cars,,1993,2733000
Electricity output (MWhrs),,1896,1530.954
Electricity output (MWhrs),,1897,1530.954
Electricity output (MWhrs),,1898,1530.954
Electricity output (MWhrs),,1899,3061.908
Electricity output (MWhrs),,1900,3061.908
Electricity output (MWhrs),,1901,6123.816
Electricity output (MWhrs),,1902,7654.77
Electricity output (MWhrs),,1903,9185.724
Electricity output (MWhrs),,1904,12247.632
Electricity output (MWhrs),,1905,15309.54
Electricity output (MWhrs),,1906,18371.447
Electricity output (MWhrs),,1907,21892.64
Electricity output (MWhrs),,1908,24495.264
Electricity output (MWhrs),,1909,26026.219
Electricity output (MWhrs),,1910,29088.125
Electricity output (MWhrs),,1911,32150.035
Electricity output (MWhrs),,1912,36742.895
Electricity output (MWhrs),,1913,38273.85
Electricity output (MWhrs),,1914,45928.617
Electricity output (MWhrs),,1915,53583.39
Electricity output (MWhrs),,1916,62769.11
Electricity output (MWhrs),,1917,71954.836
Electricity output (MWhrs),,1918,75016.74
Electricity output (MWhrs),,1919,75016.74
Electricity output (MWhrs),,1920,82671.516
Electricity output (MWhrs),,1921,81413.055
Electricity output (MWhrs),,1922,89738.28
Electricity output (MWhrs),,1923,99418.79
Electricity output (MWhrs),,1924,109002.49
Electricity output (MWhrs),,1925,117230.92
Electricity output (MWhrs),,1926,123329.64
Electricity output (MWhrs),,1927,140367.33
Electricity output (MWhrs),,1928,151306.3
Electricity output (MWhrs),,1929,164374.98
Electricity output (MWhrs),,1930,171248.14
Electricity output (MWhrs),,1931,176378.81
Electricity output (MWhrs),,1932,188382.64
Electricity output (MWhrs),,1933,205226.72
Electricity output (MWhrs),,1934,226717.44
Electricity output (MWhrs),,1935,251015.5
Electricity output (MWhrs),,1936,279476.2
Electricity output (MWhrs),,1937,309098.53
Electricity output (MWhrs),,1938,326910.66
Electricity output (MWhrs),,1939,346658.9
Electricity output (MWhrs),,1940,373964.22
Electricity output (MWhrs),,1941,418813.56
Electricity output (MWhrs),,1942,460101.28
Electricity output (MWhrs),,1943,476458.12
Electricity output (MWhrs),,1944,493474.5
Electricity output (MWhrs),,1945,480151.6
Electricity output (MWhrs),,1946,532124
Electricity output (MWhrs),,1947,546099
Electricity output (MWhrs),,1948,589098.94
Electricity output (MWhrs),,1949,617048.9
Electricity output (MWhrs),,1950,680473.75
Electricity output (MWhrs),,1951,745726.2
Electricity output (MWhrs),,1952,768408.6
Electricity output (MWhrs),,1953,807323.5
Electricity output (MWhrs),,1954,880208.44
Electricity output (MWhrs),,1955,957850.1
Electricity output (MWhrs),,1956,1029525.6
Electricity output (MWhrs),,1957,1074675.5
Electricity output (MWhrs),,1958,1153902.9
Electricity output (MWhrs),,1959,1234097.8
Electricity output (MWhrs),,1960,1387500
Electricity output (MWhrs),,1961,1477200
Electricity output (MWhrs),,1962,1617600
Electricity output (MWhrs),,1963,1742800
Electricity output (MWhrs),,1964,1831000
Electricity output (MWhrs),,1965,1957000
Electricity output (MWhrs),,1966,2017600
Electricity output (MWhrs),,1967,2075500
Electricity output (MWhrs),,1968,2226200
Electricity output (MWhrs),,1969,2379000
Electricity output (MWhrs),,1970,2480100
Electricity output (MWhrs),,1971,2557600
Electricity output (MWhrs),,1972,2627700
Electricity output (MWhrs),,1973,2813500
Electricity output (MWhrs),,1974,2724000
Electricity output (MWhrs),,1975,2707900
Electricity output (MWhrs),,1976,2752800
Electricity output (MWhrs),,1977,2817300
Electricity output (MWhrs),,1978,2864600
Electricity output (MWhrs),,1979,2986400
Electricity output (MWhrs),,1980,2840700
Electricity output (MWhrs),,1981,2767000
Electricity output (MWhrs),,1982,2716800
Electricity output (MWhrs),,1983,2755700
Electricity output (MWhrs),,1984,2804000
Electricity output (MWhrs),,1985,2947200
Electricity output (MWhrs),,1986,2993600
Electricity output (MWhrs),,1987,3016400
Electricity output (MWhrs),,1988,3060300
Electricity output (MWhrs),,1989,3119700
Electricity output (MWhrs),,1990,3170400
Electricity output (MWhrs),,1991,3205300
Electricity output (MWhrs),,1992,3192700
Electricity output (MWhrs),,1993,3216500
Electricity output (MWhrs),,1994,3235100
Electricity output (MWhrs),,1995,3324900
Electricity output (MWhrs),,1996,3458300
Electricity output (MWhrs),,1997,3438900
Electricity output (MWhrs),,1998,3566200
Industrial robots,,1981,713
Industrial robots,,1982,1152
Industrial robots,,1983,1753
Industrial robots,,1984,2432
Industrial robots,,1985,3017
Industrial robots,,1986,3492
Industrial robots,,1987,4112
Industrial robots,,1988,4843
Industrial robots,,1989,5717
Industrial robots,,1990,6227
Industrial robots,,1991,6974
Industrial robots,,1992,7598
Industrial robots,,1993,8189
Industrial robots,,1994,8123
Industrial robots,,1995,8314
Industrial robots,,1996,8751
Industrial robots,,1997,9958
Industrial robots,,1998,10765
Landline phones,,1894,1148.1398
Landline phones,,1895,1211.9253
Landline phones,,1896,1275.7108
Landline phones,,1897,1275.7108
Landline phones,,1898,1339.4963
Landline phones,,1899,1403.282
Landline phones,,1900,1722.2096
Landline phones,,1901,2487.636
Landline phones,,1902,8929.976
Landline phones,,1903,14032.818
Landline phones,,1904,21049.229
Landline phones,,1905,28703.492
Landline phones,,1906,34444.19
Landline phones,,1907,50390.574
Landline phones,,1908,55493.418
Landline phones,,1909,62509.832
Landline phones,,1910,77818.36
Landline phones,,1911,447136.62
Landline phones,,1912,466272.3
Landline phones,,1913,494337.9
Landline phones,,1914,507732.9
Landline phones,,1915,501992.2
Landline phones,,1916,493700.06
Landline phones,,1917,496889.34
Landline phones,,1918,508370.75
Landline phones,,1919,566415.56
Landline phones,,1920,625098.25
Landline phones,,1921,635854
Landline phones,,1922,671284.75
Landline phones,,1923,739615.3
Landline phones,,1924,813007.4
Landline phones,,1925,887032.2
Landline phones,,1926,962322.4
Landline phones,,1927,1040143.3
Landline phones,,1928,1118596.9
Landline phones,,1929,1199581.2
Landline phones,,1930,1262850.4
Landline phones,,1931,1309036.8
Landline phones,,1932,1352059.9
Landline phones,,1933,1407736.6
Landline phones,,1934,1510865.1
Landline phones,,1935,1626014.8
Landline phones,,1936,1788616.2
Landline phones,,1937,1929706.2
Landline phones,,1938,2046754
Landline phones,,1939,2112554
Landline phones,,1940,2094838.4
Landline phones,,1941,2098002
Landline phones,,1942,2237193.8
Landline phones,,1943,2381447.2
Landline phones,,1944,2460533.8
Landline phones,,1945,2490902.8
Landline phones,,1946,2732590.5
Landline phones,,1947,2943909.2
Landline phones,,1948,3112204.8
Landline phones,,1949,3271643
Landline phones,,1950,3432979
Landline phones,,1951,3615826.8
Landline phones,,1952,3715791.8
Landline phones,,1953,3855616.5
Landline phones,,1954,4071996.5
Landline phones,,1955,4321277
Landline phones,,1956,4534493
Landline phones,,1957,4618641
Landline phones,,1958,4725566
Landline phones,,1959,4928659.5
Landline phones,,1960,5193124
Landline phones,,1961,5405708.5
Landline phones,,1962,5593617
Landline phones,,1963,5866307
Landline phones,,1964,6252881
Landline phones,,1965,6719806.5
Landline phones,,1966,7142444
Landline phones,,1967,7597981
Landline phones,,1968,8101603
Landline phones,,1969,8758969
Landline phones,,1970,9400517
Landline phones,,1971,10138866
Landline phones,,1972,11034757
Landline phones,,1973,11992649
Landline phones,,1974,12774655
Landline phones,,1975,13213110
Landline phones,,1976,13941568
Landline phones,,1977,15058920
Landline phones,,1978,16347798
Landline phones,,1979,17322536
Landline phones,,1980,18138260
Landline phones,,1981,18821568
Landline phones,,1982,19260756
Landline phones,,1983,19901080
Landline phones,,1984,20568184
Landline phones,,1985,21200190
Landline phones,,1986,21774316
Landline phones,,1987,22689582
Landline phones,,1988,23720570
Landline phones,,1989,24778656
Landline phones,,1990,25384400
Landline phones,,1991,25897984
Landline phones,,1992,26508742
Landline phones,,1993,27349770
Landline phones,,1994,28379970
Landline phones,,1995,29420212
Landline phones,,1996,30694644
Landline phones,,1997,31982878
Landline phones,,1998,33005036
Landline phones,,1999,33737012
Mail (units handled),,1839,82905530
Mail (units handled),,1840,170866260
Mail (units handled),,1841,198164420
Mail (units handled),,1842,210296940
Mail (units handled),,1843,221418420
Mail (units handled),,1844,245683440
Mail (units handled),,1845,275003680
Mail (units handled),,1846,303312900
Mail (units handled),,1847,324544800
Mail (units handled),,1848,332633120
Mail (units handled),,1849,341732500
Mail (units handled),,1850,349820860
Mail (units handled),,1851,364986500
Mail (units handled),,1852,383185280
Mail (units handled),,1853,415538620
Mail (units handled),,1854,447892030
Mail (units handled),,1855,462046620
Mail (units handled),,1856,558095700
Mail (units handled),,1857,588427000
Mail (units handled),,1858,608647800
Mail (units handled),,1859,633924000
Mail (units handled),,1860,653133760
Mail (units handled),,1861,685487100
Mail (units handled),,1862,699641700
Mail (units handled),,1863,739072400
Mail (units handled),,1864,783558300
Mail (units handled),,1865,826022100
Mail (units handled),,1866,858375500
Mail (units handled),,1867,886684700
Mail (units handled),,1868,924093250
Mail (units handled),,1869,943303040
Mail (units handled),,1870,988800000
Mail (units handled),,1871,1080805000
Mail (units handled),,1872,1197074800
Mail (units handled),,1873,1246615900
Mail (units handled),,1874,1414449200
Mail (units handled),,1875,1391195000
Mail (units handled),,1876,1426581500
Mail (units handled),,1877,1494321400
Mail (units handled),,1878,1552961900
Mail (units handled),,1879,1605536300
Mail (units handled),,1880,1680353400
Mail (units handled),,1881,1795612300
Mail (units handled),,1882,1874473600
Mail (units handled),,1883,1935136300
Mail (units handled),,1884,2005909100
Mail (units handled),,1885,2087803600
Mail (units handled),,1886,2182841900
Mail (units handled),,1887,2267769300
Mail (units handled),,1888,2349663700
Mail (units handled),,1889,2496265200
Mail (units handled),,1890,2606468900
Mail (units handled),,1891,2696451300
Mail (units handled),,1892,2762169300
Mail (units handled),,1893,2830920200
Mail (units handled),,1894,2882483500
Mail (units handled),,1895,3002797600
Mail (units handled),,1896,3113001200
Mail (units handled),,1897,3285889500
Mail (units handled),,1898,3463833000
Mail (units handled),,1899,3552804900
Mail (units handled),,1900,3682218500
Mail (units handled),,1901,3875327700
Mail (units handled),,1902,4100790000
Mail (units handled),,1903,4252446700
Mail (units handled),,1904,4431401500
Mail (units handled),,1905,4635631600
Mail (units handled),,1906,4811553300
Mail (units handled),,1907,4916701700
Mail (units handled),,1908,4976353300
Mail (units handled),,1909,5043082000
Mail (units handled),,1910,5217992700
Mail (units handled),,1911,5418179000
Mail (units handled),,1912,5539504600
Mail (units handled),,1913,5846861300
Mail (units handled),,1914,5580957000
Mail (units handled),,1919,5795298300
Mail (units handled),,1920,5640608300
Mail (units handled),,1921,5288765400
Mail (units handled),,1922,5515239400
Mail (units handled),,1923,5646675000
Mail (units handled),,1924,5904490500
Mail (units handled),,1925,6126920000
Mail (units handled),,1926,5864049000
Mail (units handled),,1927,6268466000
Mail (units handled),,1928,6298797600
Mail (units handled),,1929,6470675000
Mail (units handled),,1930,6546503000
Mail (units handled),,1931,6612221000
Mail (units handled),,1932,6713325000
Mail (units handled),,1933,6827573000
Mail (units handled),,1934,7011583000
Mail (units handled),,1935,7426110500
Mail (units handled),,1936,7774920000
Mail (units handled),,1937,8078233000
Mail (units handled),,1938,8240000000
Mail (units handled),,1939,7460000000
Mail (units handled),,1940,6310000000
Mail (units handled),,1941,6150000000
Mail (units handled),,1942,6390000000
Mail (units handled),,1943,6480000000
Mail (units handled),,1944,6600000000
Mail (units handled),,1945,6550000000
Mail (units handled),,1946,7300000000
Mail (units handled),,1947,7600000000
Mail (units handled),,1948,8050000000
Mail (units handled),,1949,8350000000
Mail (units handled),,1950,8500000000
Mail (units handled),,1951,8750000000
Mail (units handled),,1952,8800000000
Mail (units handled),,1953,9100000000
Mail (units handled),,1954,9500000000
Mail (units handled),,1955,9700000000
Mail (units handled),,1956,9700000000
Mail (units handled),,1957,9600000000
Mail (units handled),,1958,9700000000
Mail (units handled),,1959,10200000000
Mail (units handled),,1960,10600000000
Mail (units handled),,1961,10500000000
Mail (units handled),,1962,10600000000
Mail (units handled),,1963,11000000000
Mail (units handled),,1964,11200000000
Mail (units handled),,1965,11300000000
Mail (units handled),,1966,11400000000
Mail (units handled),,1967,11500000000
Mail (units handled),,1968,11300000000
Mail (units handled),,1969,11400000000
Mail (units handled),,1970,10500000000
Mail (units handled),,1971,10550000000
Mail (units handled),,1972,10790000000
Mail (units handled),,1973,11010000000
Mail (units handled),,1974,10878000000
Mail (units handled),,1975,9903000000
Mail (units handled),,1976,9383000000
Mail (units handled),,1977,9485000000
Mail (units handled),,1978,9965000000
Mail (units handled),,1979,10207000000
Mail (units handled),,1980,10071000000
Mail (units handled),,1981,9985000000
Mail (units handled),,1982,10255000000
